cod_municipio,municipio,confirmados
2300101,ABAIARA,67
2300150,ACARAPE,1415
2300200,ACARAU,2620
2300309,ACOPIARA,617
2300408,AIUABA,20
2300507,ALCANTARAS,419
2300606,ALTANEIRA,13
2300705,ALTO SANTO,299
2300754,AMONTADA,767
2300804,ANTONINA DO NORTE,13
2300903,APUIARES,207
2301000,AQUIRAZ,935
2301109,ARACATI,1440
2301208,ARACOIABA,741
2301257,ARARENDA,47
2301307,ARARIPE,193
2301406,ARATUBA,218
2301505,ARNEIROZ,40
2301604,ASSARE,285
2301703,AURORA,190
2301802,BAIXIO,79
2301851,BANABUIU,492
2301901,BARBALHA,1023
2301950,BARREIRA,313
2302008,BARRO,131
2302057,BARROQUINHA,749
2302107,BATURITÉ,537
2302206,BEBERIBE,718
2302305,BELA CRUZ,1153
2302404,BOA VIAGEM,435
2302503,BREJO SANTO,1145
2302602,CAMOCIM,2280
2302701,CAMPOS SALES,286
2302800,CANINDE,1866
2302909,CAPISTRANO,645
2303006,CARIDADE,304
2303105,CARIRE,647
2303204,CARIRIACU,621
2303303,CARIUS,402
2303402,CARNAUBAL,447
2303501,CASCAVEL,1402
2303600,CATARINA,207
2303659,CATUNDA,286
2303709,CAUCAIA,5438
2303808,CEDRO,369
2303907,CHAVAL,788
2303956,CHORÓ,299
2303931,CHOROZINHO,492
2304004,COREAU,1157
2304103,CRATEUS,2615
2304202,CRATO,5031
2304236,CROATA,135
2304251,CRUZ,837
2304269,DEPUTADO IRAPUAN PINHEIRO,72
2304277,ERERE,105
2304285,EUSEBIO,1694
2304301,FARIAS BRITO,844
2304350,FORQUILHA,672
2304400,FORTALEZA,45616
2304459,FORTIM,142
2304509,FRECHEIRINHA,1194
2304608,GENERAL SAMPAIO,130
2304657,GRACA,499
2304707,GRANJA,1215
2304806,GRANJEIRO,50
2304905,GROAIRAS,681
2304954,GUAIÚBA,265
2305001,GUARACIABA DO NORTE,526
2305100,GUARAMIRANGA,120
2305209,HIDROLANDIA,199
2305233,HORIZONTE,1603
2305266,IBARETAMA,54
2305308,IBIAPINA,516
2305332,IBICUITINGA,444
2305357,ICAPUI,377
2305407,ICO,764
2305506,IGUATU,2359
2305605,INDEPENDENCIA,185
2305654,IPAPORANGA,146
2305704,IPAUMIRIM,115
2305803,IPU,1002
2305902,IPUEIRAS,360
2306009,IRACEMA,260
2306108,IRAUCUBA,347
2306207,ITAICABA,228
2306256,ITAITINGA,646
2306306,ITAPAJE,1053
2306405,ITAPIPOCA,2465
2306504,ITAPIUNA,322
2306553,ITAREMA,1838
2306603,ITATIRA,834
2306702,JAGUARETAMA,552
2306801,JAGUARIBARA,242
2306900,JAGUARIBE,1038
2307007,JAGUARUANA,736
2307106,JARDIM,137
2307205,JATI,44
2307254,JIJOCA DE JERICOACOARA,711
2307304,JUAZEIRO DO NORTE,13236
2307403,JUCAS,383
2307502,LAVRAS DA MANGABEIRA,330
2307601,LIMOEIRO DO NORTE,1344
2307635,MADALENA,426
2307650,MARACANAU,6078
2307700,MARANGUAPE,4559
2307809,MARCO,436
2307908,MARTINOPOLE,167
2308005,MASSAPE,896
2308104,MAURITI,751
2308203,MERUOCA,618
2308302,MILAGRES,217
2308351,MILHA,199
2308377,MIRAIMA,390
2308401,MISSAO VELHA,743
2308500,MOMBACA,869
2308609,MONSENHOR TABOSA,172
2308708,MORADA NOVA,1514
2308807,MORAUJO,472
2308906,MORRINHOS,480
2309003,MUCAMBO,423
2309102,MULUNGU,113
2309201,NOVA OLINDA,61
2309300,NOVA RUSSAS,538
2309409,NOVO ORIENTE,308
2309458,OCARA,404
2309508,OROS,963
2309607,PACAJUS,1201
2309706,PACATUBA,1613
2309805,PACOTI,270
2309904,PACUJA,188
2310001,PALHANO,90
2310100,PALMACIA,225
2310209,PARACURU,764
2310258,PARAIPABA,1015
2310308,PARAMBU,246
2310407,PARAMOTI,164
2310506,PEDRA BRANCA,279
2310605,PENAFORTE,32
2310704,PENTECOSTE,693
2310803,PEREIRO,189
2310852,PINDORETAMA,397
2310902,PIQUET CARNEIRO,181
2310951,PIRES FERREIRA,173
2311009,PORANGA,120
2311108,PORTEIRAS,288
2311207,POTENGI,119
2311231,POTIRETAMA,87
2311264,QUITERIANOPOLIS,279
2311306,QUIXADA,3259
2311355,QUIXELO,695
2311405,QUIXERAMOBIM,1831
2311504,QUIXERE,607
2311603,REDENCAO,1241
2311702,RERIUTABA,346
2311801,RUSSAS,2560
2311900,SABOEIRO,45
2311959,SALITRE,253
2312205,SANTA QUITERIA,1180
2312007,SANTANA DO ACARAU,759
2312106,SANTANA DO CARIRI,173
2312304,SAO BENEDITO,752
2312601,SAO GONCALO DO AMARANTE,2164
2312700,SAO JOAO DO JAGUARIBE,161
2312809,SAO LUÍS DO CURU,136
2312403,SENADOR POMPEU,354
2312502,SENADOR SA,369
2312908,SOBRAL,10844
2313005,SOLONOPOLE,407
2313104,TABULEIRO DO NORTE,814
2313203,TAMBORIL,215
2313252,TARRAFAS,34
2313302,TAUA,939
2313351,TEJUCUOCA,422
2313401,TIANGUA,3233
2313500,TRAIRI,676
2313559,TURURU,420
2313609,UBAJARA,864
2313708,UMARI,62
2313757,UMIRIM,274
2313807,URUBURETAMA,704
2313906,URUOCA,541
2313955,VARJOTA,760
2314003,VARZEA ALEGRE,717
2314102,VICOSA DO CEARA,1609
